iter	Passed	Remaining
0	54	54276
1	54	27366
2	55	18352
3	55	13836
4	55	11129
5	57	9459
6	57	8146
7	57	7159
8	58	6391
9	58	5780
10	58	5277
11	59	4858
12	59	4504
13	59	4204
14	60	3943
15	60	3713
16	60	3509
17	61	3330
18	61	3169
19	61	3024
20	62	2894
21	62	2779
22	62	2668
23	63	2566
24	63	2484
25	64	2398
26	64	2320
27	64	2246
28	65	2176
29	65	2114
30	65	2060
31	66	2004
32	66	1954
33	67	1905
34	67	1857
35	67	1813
36	68	1772
37	68	1734
38	68	1699
39	69	1665
40	69	1630
41	70	1597
42	70	1569
43	71	1542
44	71	1516
45	71	1491
46	72	1468
47	72	1442
48	73	1418
49	73	1396
50	73	1373
51	74	1350
52	74	1329
53	74	1309
54	75	1290
55	75	1271
56	75	1253
57	76	1235
58	76	1218
59	76	1203
60	77	1188
61	77	1172
62	77	1157
63	78	1142
64	78	1128
65	78	1114
66	79	1100
67	79	1087
68	79	1074
69	79	1062
70	80	1053
71	80	1041
72	81	1031
73	81	1020
74	81	1009
75	82	999
76	82	990
77	83	982
78	83	973
79	83	963
80	84	954
81	84	947
82	84	936
83	85	931
84	85	924
85	86	917
86	86	910
87	87	904
88	87	896
89	87	889
90	88	882
91	88	875
92	89	868
93	89	861
94	89	854
95	89	847
96	90	840
97	90	833
98	90	827
99	91	820
100	91	814
101	91	807
102	92	801
103	92	796
104	92	790
105	93	784
106	93	779
107	93	774
108	94	769
109	94	763
110	94	758
111	95	754
112	95	750
113	96	746
114	96	741
115	96	737
116	96	731
117	97	727
118	97	723
119	98	720
120	98	716
121	98	712
122	99	709
123	99	706
124	100	701
125	100	697
126	100	693
127	101	689
128	101	686
129	101	682
130	102	678
131	102	675
132	102	671
133	103	668
134	103	664
135	104	661
136	104	659
137	104	655
138	105	652
139	105	648
140	106	645
141	106	641
142	106	638
143	106	635
144	107	632
145	107	629
146	107	625
147	108	622
148	108	619
149	108	616
150	109	613
151	109	610
152	109	608
153	110	605
154	110	603
155	111	600
156	111	598
157	111	596
158	112	593
159	112	590
160	112	587
161	113	585
162	113	583
163	114	581
164	114	579
165	114	577
166	115	575
167	115	573
168	116	570
169	116	568
170	116	566
171	117	564
172	117	561
173	117	559
174	118	557
175	118	554
176	118	552
177	119	550
178	119	547
179	119	545
180	120	543
181	120	543
182	121	541
183	121	539
184	121	537
185	122	534
186	122	532
187	122	530
188	123	528
189	123	526
190	123	524
191	124	522
192	124	520
193	124	519
194	125	517
195	125	515
196	125	513
197	126	511
198	126	509
199	127	508
200	127	506
201	127	504
202	128	503
203	128	501
204	128	499
205	129	497
206	129	495
207	129	493
208	130	492
209	130	491
210	131	490
211	131	488
212	131	486
213	132	485
214	132	483
215	132	482
216	133	481
217	133	479
218	134	478
219	134	477
220	135	476
221	135	474
222	135	473
223	136	472
224	136	471
225	137	470
226	137	468
227	137	466
228	138	465
229	138	463
230	138	461
231	139	460
232	139	458
233	139	457
234	140	456
235	140	455
236	141	454
237	141	452
238	141	451
239	141	449
240	142	448
241	142	447
242	143	446
243	143	445
244	144	444
245	144	442
246	144	441
247	145	440
248	145	438
249	145	437
250	146	436
251	146	434
252	146	433
253	147	432
254	147	430
255	147	429
256	148	427
257	148	426
258	148	425
259	149	424
260	149	423
261	149	422
262	150	420
263	150	419
264	150	418
265	151	416
266	151	415
267	151	414
268	152	413
269	152	411
270	152	410
271	153	409
272	153	408
273	153	407
274	154	406
275	154	405
276	154	404
277	155	403
278	155	403
279	156	401
280	156	401
281	157	400
282	157	399
283	158	398
284	158	397
285	158	396
286	159	395
287	159	394
288	159	393
289	160	392
290	160	391
291	161	390
292	161	389
293	161	388
294	162	387
295	162	387
296	163	386
297	163	385
298	163	384
299	164	383
300	164	382
301	164	381
302	165	380
303	165	379
304	166	378
305	166	378
306	166	376
307	167	375
308	167	374
309	167	373
310	168	372
311	168	372
312	169	371
313	169	371
314	170	371
315	171	371
316	172	370
317	172	370
318	173	370
319	174	369
320	174	369
321	175	369
322	176	369
323	176	368
324	177	368
325	177	367
326	178	367
327	179	366
328	179	366
329	180	365
330	180	365
331	181	364
332	181	363
333	181	362
334	182	361
335	182	360
336	182	359
337	183	358
338	183	357
339	183	356
340	184	356
341	185	356
342	185	355
343	186	355
344	187	355
345	187	354
346	188	354
347	188	353
348	188	351
349	188	350
350	189	350
351	189	349
352	189	348
353	190	347
354	190	346
355	191	345
356	191	344
357	191	343
358	192	342
359	192	341
360	192	341
361	193	340
362	193	339
363	193	338
364	194	338
365	194	337
366	195	336
367	195	336
368	196	335
369	196	334
370	196	333
371	197	333
372	197	332
373	197	331
374	198	330
375	198	329
376	198	328
377	199	328
378	199	327
379	200	327
380	200	326
381	201	325
382	201	324
383	201	323
384	202	323
385	202	322
386	203	321
387	203	321
388	204	321
389	204	320
390	205	319
391	205	318
392	205	318
393	206	317
394	206	316
395	207	315
396	207	315
397	208	314
398	208	313
399	208	313
400	209	312
401	209	312
402	210	311
403	210	311
404	211	310
405	211	309
406	212	309
407	213	309
408	213	308
409	213	307
410	214	307
411	214	306
412	215	305
413	215	305
414	216	304
415	216	304
416	217	303
417	217	302
418	217	302
419	218	301
420	219	301
421	219	300
422	219	299
423	220	298
424	220	298
425	220	297
426	220	296
427	221	295
428	221	295
429	222	294
430	222	293
431	223	293
432	223	292
433	223	292
434	224	291
435	224	290
436	225	290
437	225	289
438	226	289
439	226	288
440	226	287
441	227	286
442	227	285
443	227	285
444	228	284
445	228	283
446	228	283
447	229	282
448	229	281
449	229	280
450	230	280
451	230	279
452	231	279
453	231	278
454	232	277
455	232	277
456	232	276
457	233	275
458	233	275
459	233	274
460	234	274
461	234	273
462	235	272
463	235	271
464	235	271
465	236	270
466	236	270
467	236	269
468	237	268
469	237	267
470	237	267
471	238	266
472	238	265
473	238	265
474	239	264
475	239	263
476	239	263
477	240	262
478	240	261
479	241	261
480	241	261
481	242	260
482	242	260
483	243	259
484	243	258
485	244	258
486	244	258
487	245	257
488	245	256
489	246	256
490	246	255
491	246	254
492	246	253
493	247	253
494	247	252
495	248	252
496	248	251
497	249	251
498	249	250
499	249	249
500	250	249
501	250	248
502	250	247
503	251	247
504	251	246
505	251	245
506	252	245
507	252	244
508	252	244
509	253	243
510	253	242
511	254	242
512	254	241
513	255	241
514	255	240
515	255	239
516	256	239
517	256	238
518	257	238
519	257	237
520	258	237
521	258	236
522	259	236
523	259	235
524	259	235
525	260	234
526	260	233
527	260	233
528	261	232
529	261	231
530	261	231
531	262	231
532	263	230
533	263	229
534	263	229
535	264	228
536	264	227
537	264	227
538	265	226
539	265	226
540	266	225
541	266	225
542	267	224
543	267	224
544	268	223
545	268	223
546	268	222
547	269	222
548	269	221
549	269	220
550	270	220
551	270	219
552	270	218
553	271	218
554	271	217
555	271	216
556	271	216
557	272	215
558	272	215
559	273	214
560	273	213
561	273	213
562	274	212
563	274	212
564	275	211
565	275	211
566	276	211
567	276	210
568	277	209
569	277	209
570	278	209
571	278	208
572	279	207
573	279	207
574	279	206
575	280	206
576	280	205
577	280	204
578	281	204
579	281	203
580	282	203
581	282	202
582	282	202
583	283	201
584	283	201
585	284	200
586	284	200
587	285	199
588	285	199
589	286	198
590	286	198
591	286	197
592	287	197
593	287	196
594	288	196
595	288	195
596	288	194
597	288	194
598	289	193
599	289	193
600	289	192
601	290	191
602	290	191
603	290	190
604	291	190
605	291	189
606	291	188
607	292	188
608	292	187
609	292	187
610	292	186
611	293	185
612	293	185
613	293	184
614	294	184
615	294	183
616	294	182
617	295	182
618	295	181
619	295	181
620	295	180
621	296	179
622	296	179
623	296	178
624	297	178
625	297	177
626	297	177
627	298	176
628	298	176
629	298	175
630	299	174
631	299	174
632	300	174
633	300	173
634	300	173
635	301	172
636	301	171
637	302	171
638	302	170
639	302	170
640	303	169
641	303	169
642	303	168
643	304	168
644	304	167
645	304	167
646	305	166
647	305	165
648	305	165
649	306	164
650	306	164
651	306	163
652	307	163
653	307	162
654	307	162
655	307	161
656	308	160
657	308	160
658	308	159
659	309	159
660	309	158
661	309	158
662	309	157
663	310	156
664	310	156
665	311	155
666	311	155
667	311	155
668	312	154
669	312	153
670	312	153
671	313	152
672	313	152
673	313	151
674	313	151
675	314	150
676	314	150
677	314	149
678	315	148
679	315	148
680	315	147
681	315	147
682	316	146
683	316	146
684	317	145
685	317	145
686	317	144
687	318	144
688	318	143
689	319	143
690	319	142
691	319	142
692	320	141
693	320	141
694	320	140
695	321	140
696	321	139
697	322	139
698	322	138
699	322	138
700	323	137
701	323	137
702	323	136
703	324	136
704	324	135
705	324	135
706	325	134
707	325	134
708	325	133
709	326	133
710	326	132
711	326	132
712	327	131
713	327	131
714	327	130
715	328	130
716	328	129
717	328	129
718	329	128
719	329	128
720	329	127
721	329	127
722	330	126
723	330	125
724	330	125
725	331	124
726	331	124
727	331	123
728	332	123
729	332	122
730	332	122
731	332	121
732	333	121
733	333	120
734	333	120
735	334	119
736	334	119
737	335	118
738	335	118
739	335	117
740	335	117
741	336	116
742	336	116
743	337	115
744	337	115
745	337	114
746	337	114
747	338	113
748	338	113
749	338	112
750	339	112
751	339	112
752	340	111
753	340	111
754	341	110
755	341	110
756	341	109
757	342	109
758	342	108
759	342	108
760	342	107
761	343	107
762	343	106
763	343	106
764	343	105
765	344	105
766	344	104
767	344	104
768	345	103
769	345	103
770	345	102
771	345	102
772	346	101
773	346	101
774	346	100
775	347	100
776	347	99
777	347	99
778	347	98
779	348	98
780	348	97
781	348	97
782	348	96
783	349	96
784	349	95
785	349	95
786	350	94
787	350	94
788	350	93
789	351	93
790	351	92
791	351	92
792	352	91
793	352	91
794	352	90
795	353	90
796	353	90
797	353	89
798	353	89
799	354	88
800	354	88
801	354	87
802	355	87
803	355	86
804	355	86
805	356	85
806	356	85
807	356	84
808	356	84
809	357	83
810	357	83
811	357	82
812	358	82
813	358	81
814	358	81
815	358	80
816	359	80
817	359	80
818	359	79
819	360	79
820	360	78
821	360	78
822	361	77
823	361	77
824	361	76
825	361	76
826	362	75
827	362	75
828	362	74
829	363	74
830	363	73
831	363	73
832	364	72
833	364	72
834	364	72
835	364	71
836	365	71
837	365	70
838	365	70
839	366	69
840	366	69
841	366	68
842	367	68
843	367	67
844	367	67
845	368	67
846	368	66
847	368	66
848	369	65
849	369	65
850	369	64
851	369	64
852	370	63
853	370	63
854	370	62
855	370	62
856	371	61
857	371	61
858	371	61
859	372	60
860	372	60
861	372	59
862	372	59
863	373	58
864	373	58
865	373	57
866	373	57
867	374	56
868	374	56
869	374	55
870	374	55
871	375	55
872	375	54
873	375	54
874	375	53
875	376	53
876	376	52
877	376	52
878	376	51
879	377	51
880	377	51
881	377	50
882	378	50
883	378	49
884	378	49
885	378	48
886	379	48
887	379	47
888	379	47
889	379	46
890	380	46
891	380	46
892	380	45
893	381	45
894	381	44
895	381	44
896	381	43
897	382	43
898	382	42
899	382	42
900	383	42
901	383	41
902	383	41
903	384	40
904	384	40
905	384	39
906	384	39
907	385	39
908	385	38
909	385	38
910	386	37
911	386	37
912	386	36
913	386	36
914	387	35
915	387	35
916	387	35
917	387	34
918	388	34
919	388	33
920	388	33
921	389	32
922	389	32
923	389	32
924	389	31
925	390	31
926	390	30
927	390	30
928	390	29
929	391	29
930	391	29
931	391	28
932	391	28
933	392	27
934	392	27
935	392	26
936	392	26
937	393	25
938	393	25
939	393	25
940	394	24
941	394	24
942	394	23
943	394	23
944	395	23
945	395	22
946	395	22
947	396	21
948	396	21
949	396	20
950	397	20
951	397	20
952	397	19
953	398	19
954	398	18
955	398	18
956	399	17
957	399	17
958	399	17
959	400	16
960	400	16
961	400	15
962	400	15
963	401	14
964	401	14
965	401	14
966	402	13
967	402	13
968	402	12
969	402	12
970	403	12
971	403	11
972	403	11
973	404	10
974	404	10
975	404	9
976	404	9
977	405	9
978	405	8
979	405	8
980	406	7
981	406	7
982	406	7
983	406	6
984	407	6
985	407	5
986	407	5
987	408	4
988	408	4
989	408	4
990	408	3
991	409	3
992	409	2
993	409	2
994	410	2
995	410	1
996	410	1
997	411	0
998	411	0
999	411	0
